galaxy,MBH,MBH_method,M_in,M_out,f_in,Vflat
NGC0024,4.168,DGC2019 M_BH-v_max (slope 10.62),13847917298.216557,13467544303.451092,0.5069625950370584,106.3
NGC0247,4.107,DGC2019 M_BH-v_max (slope 10.62),8096638976.186766,21948202790.74147,0.26948515951577134,104.9
NGC0289,6.14,DGC2019 M_BH-v_max (slope 10.62),97757391667.58566,270850925682.79984,0.2652066897737988,163.0
NGC2403,5.139,DGC2019 M_BH-v_max (slope 10.62),3645720263.2839785,65144832621.6631,0.05299739732258706,131.2
NGC1003,4.317,DGC2019 M_BH-v_max (slope 10.62),27153707895.099766,53707280326.560074,0.33580727236061947,109.8
NGC1090,6.179,DGC2019 M_BH-v_max (slope 10.62),78733765217.77866,45084708808.761116,0.6358805972758357,164.4
NGC2841,8.713,DGC2019 M_BH-v_max (slope 10.62),483339271678.34625,526296136247.8323,0.47872654612137633,284.8
NGC0801,7.525,DGC2019 M_BH-v_max (slope 10.62),104713669622.27553,318875631574.0723,0.24720565256613322,220.1
NGC3726,6.279,DGC2019 M_BH-v_max (slope 10.62),38560853450.03872,110117946221.60483,0.2593567713433266,168.0
NGC2998,7.306,DGC2019 M_BH-v_max (slope 10.62),35669271859.613174,259602331129.87802,0.12080156540106789,209.9
NGC3521,7.389,DGC2019 M_BH-v_max (slope 10.62),9126376884.424551,116185747554.30084,0.07282916098742807,213.7
NGC3198,5.759,DGC2019 M_BH-v_max (slope 10.62),127111153354.75977,52822491684.436844,0.7064334928971732,150.1
NGC4013,6.412,DGC2019 M_BH-v_max (slope 10.62),66843518294.663765,107541043708.95004,0.38331098536852454,172.9
NGC3741,0.698,DGC2019 M_BH-v_max (slope 10.62),293035469.20672375,3782671243.7918034,0.0718980755588116,50.1
NGC5371,7.297,DGC2019 M_BH-v_max (slope 10.62),64613127650.80406,154525204035.8617,0.294850869555724,209.5
NGC6015,5.881,DGC2019 M_BH-v_max (slope 10.62),40285034778.28666,98925848467.01112,0.28938136041635515,154.1
NGC6195,8.144,DGC2019 M_BH-v_max (slope 10.62),22777635020.659748,228294853498.79294,0.09072134965872604,251.7
NGC5585,3.416,DGC2019 M_BH-v_max (slope 10.62),84628092.7997168,17658129060.05578,0.004769726151952481,90.3
NGC5985,8.854,DGC2019 M_BH-v_max (slope 10.62),349184381953.2992,136396990139.54385,0.7191058018727605,293.6
NGC5907,7.417,DGC2019 M_BH-v_max (slope 10.62),234030987523.9721,138080078704.86316,0.6289277819543567,215.0
UGC02259,3.201,DGC2019 M_BH-v_max (slope 10.62),7071805233.91068,5201981518.8953,0.5761714274768506,86.2
NGC6674,7.949,DGC2019 M_BH-v_max (slope 10.62),344520689286.66504,480998336756.4385,0.4173382786076166,241.3
UGC00731,2.454,DGC2019 M_BH-v_max (slope 10.62),2492947975.4017277,8146276466.952541,0.2343167012698233,73.3
UGC00128,5.071,DGC2019 M_BH-v_max (slope 10.62),70997144135.16393,106181580857.6505,0.4007091942785075,129.3
UGC05253,7.389,DGC2019 M_BH-v_max (slope 10.62),1572545795.8599408,432725663833.8059,0.003620889428028911,213.7
UGC02885,8.789,DGC2019 M_BH-v_max (slope 10.62),143425329317.8075,1005653181577.5337,0.12481769344555321,289.5
NGC6503,4.583,DGC2019 M_BH-v_max (slope 10.62),41405089380.615685,20194494786.513985,0.672165079366071,116.3
UGC05716,2.441,DGC2019 M_BH-v_max (slope 10.62),2532205419.178,10439737114.314604,0.19520633957790295,73.1
UGC06787,8.077,DGC2019 M_BH-v_max (slope 10.62),195496202404.33774,269565506220.6906,0.4203661552406224,248.1
UGC02953,8.379,DGC2019 M_BH-v_max (slope 10.62),449678889475.45135,387573368209.077,0.5370888944737701,264.9
UGC06786,7.51,DGC2019 M_BH-v_max (slope 10.62),73064859150.59064,257634070223.45847,0.22094071876461374,219.4
UGC07399,4.022,DGC2019 M_BH-v_max (slope 10.62),7722022608.092756,5878382474.429801,0.5677788684409172,103.0
UGC09133,7.663,DGC2019 M_BH-v_max (slope 10.62),595492630164.6578,399761477562.63983,0.5983322505691425,226.8
UGC08286,2.993,DGC2019 M_BH-v_max (slope 10.62),7497006844.766832,3662489660.455563,0.6718051160514635,82.4
UGC08699,6.658,DGC2019 M_BH-v_max (slope 10.62),49008084724.87219,105576426250.38306,0.3170310169866698,182.4
UGC08550,1.285,DGC2019 M_BH-v_max (slope 10.62),1915440442.6098354,1566163166.3221273,0.5501604024351948,56.9
UGC12506,7.807,DGC2019 M_BH-v_max (slope 10.62),77410094435.455,389497368898.367,0.16579322566987878,234.0
UGC11914,8.766,DGC2019 M_BH-v_max (slope 10.62),24244854631.498604,75237768018.32826,0.24370944377732282,288.1
UGC08490,2.776,DGC2019 M_BH-v_max (slope 10.62),3762532127.3843555,8506644370.941994,0.3066654170226996,78.6
UGC11455,8.457,DGC2019 M_BH-v_max (slope 10.62),198045540822.58237,260867003140.83344,0.4315539930814583,269.4
UGC01281,1.146,DGC2019 M_BH-v_max (slope 10.62),204418806.09923196,2549051945.427071,0.07424041311712448,55.2
UGC03205,7.514,DGC2019 M_BH-v_max (slope 10.62),106450987463.27756,219888334025.98022,0.32619724456582727,219.6
