galaxy,logMtot,a_in,a_out,a_single_compromise,a_match,nmatch,ratio_match_out,ratio_match_in,f_out
NGC0289,10.586026089102656,2.550715473844844,24.519290513645327,,5.736705412265529,14,0.23396702319232984,2.249057360999286,0.1792895587969891
NGC2403,10.474158378979642,0.491960408727156,5.946767939164708,,6.878631106417352,13,1.1567007787735424,13.982082672494645,0.9061434067260832
NGC2998,10.656653567342309,0.575571920192567,14.049161004285956,,6.7656885835564875,15,0.4815724285238449,11.7547231652526,0.5446272784652044
NGC5585,10.19362875043812,0.153661199351639,4.859193779443679,,5.014144475911319,22,1.0318881492487795,32.631168421619094,0.9924805850756223
NGC6015,10.529216669257616,1.46289591019769,18.624376976269534,,6.555416837998064,14,0.35198046336533695,4.481123224353119,0.32615516674461775
UGC00128,10.389008024139905,3.9600615105250982,20.93650292462863,,6.34514509243964,19,0.30306613837478735,1.6022844785555574,0.1905085140605655
UGC00731,9.986861839461904,1.0574386830239246,3.9847696471355865,,7.394408316427922,11,1.8556676975652338,6.992753750300076,0.7649501355590757
UGC03205,10.791994216378704,1.7784875503168285,29.003125860123777,,6.320166287976758,10,0.21791328005324823,3.553674742817768,0.16076794346399906
UGC05253,10.744330337137928,0.3021877382790294,9.556015339365832,,6.556600737086062,11,0.6861228769774221,21.697110459961582,0.9757232299559176
UGC06786,10.873130136168456,2.0716658181777357,11.056866650838275,,6.802960687974811,5,0.6152702119690523,3.28381181379861,0.5421459908674116
UGC08490,10.085018804829996,0.631571148269885,3.0241004461815035,,5.014144475911319,12,1.6580614847772734,7.939160124155416,0.6780854523204293
UGC08699,10.652337866909109,1.951199859321748,17.004383171392146,,7.330155242852507,13,0.4310744570367376,3.7567424002380387,0.35301260412937047
UGC09133,10.757452987536949,8.54898446011213,66.21667456784793,,6.083731838867455,9,0.09187613057544666,0.711632108732089,0.023868140460559902
UGC12506,10.946491635902243,1.0087876457568044,9.699311274388402,,6.6797807125304365,4,0.6886860853892572,6.621592503265825,0.5642533092167674
