galaxy,r_pk,r_shell,rmax,M_outer,M_shell,massratio,fwhm_sphere,fwhm_shell,widthratio,truncated
NGC0024,11.27,1.347,11.27,13467544303.451092,3402200000.0,3.95848107208603,6.064561520506836,1.203405,5.039501681068996,True
NGC0247,14.54,2.043,14.54,21948202790.74147,1929300000.0,11.376251900037044,7.817545848616205,1.801575,4.3392841533748,True
NGC0289,37.35049349783261,31.808,71.12,270850925682.79984,157190000000.0,1.7230798758368842,58.46271757252418,14.443215,4.047763435808729,True
NGC2403,9.005585195065024,4.457,20.87,65144832621.6631,9231500000.0,7.056798204155673,17.81397799266422,2.93904,6.061155340745352,True
NGC1003,30.24,16.345,30.24,53707280326.560074,15148000000.0,3.5455030582624816,16.267769256418806,4.84659,3.3565391866072445,True
NGC1090,30.09,4.657,30.09,45084708808.761116,18173000000.0,2.4808622026501466,16.156892297432478,2.44449,6.609514580723372,True
NGC2841,63.64,49.929,63.64,526296136247.8323,316230000000.0,1.6642827570054464,34.28643881293765,10.84713,3.1608765464171302,True
NGC0801,59.82,39.926,59.82,318875631574.0723,316230000000.0,1.0083661625211786,32.24670223407803,34.36416,0.9383817976076828,True
NGC3726,32.52,7.276,32.52,110117946221.60483,17923000000.0,6.143946115137244,17.463857952650883,3.2028000000000003,5.452684511256051,True
NGC2998,22.25630543514505,25.886,42.28,259602331129.87802,216320000000.0,1.2000847408001019,34.73871623874625,24.38367,1.4246713574595724,True
NGC3521,17.74,1.078,17.74,116185747554.30084,2755600000.0,42.1635025236975,11.584914971657218,1.015005,11.413653106789837,True
NGC3198,44.08,36.92,44.08,52822491684.436844,28488000000.0,1.8542014772689148,23.696038679559848,8.598105,2.755960607547808,True
NGC4013,31.01,23.567,31.01,107541043708.95004,72415000000.0,1.4850658525022447,16.651710570190062,8.581620000000001,1.9403924399111194,True
NGC3741,6.48784594864955,1.0,7.0,3782671243.7918034,141410000.0,26.74967289294819,4.801733911303768,0.9420000000000001,5.097382071447736,True
NGC5371,46.24,6.004,46.24,154525204035.8617,22162000000.0,6.972529737201593,24.935515171723907,5.65671,4.408130374674308,True
NGC6015,29.23,26.552,29.23,98925848467.01112,17832000000.0,5.547658617486043,19.304141380460152,1.00323,19.241989753556165,True
NGC6195,36.43,2.242,36.43,228294853498.79294,4215000000.0,54.162480070888,19.62748916305435,0.43332,45.29559947164763,True
NGC5585,7.463997999333111,6.41,10.96,17658129060.05578,13939000000.0,1.2668146251564516,8.428966322107371,5.400015000000001,1.560915353403161,True
NGC5985,34.72,23.628,34.72,136396990139.54385,253410000000.0,0.5382462812814958,18.681800600200066,12.676965,1.473680853437717,True
NGC5907,50.33,40.281,50.33,138080078704.86316,136620000000.0,1.010687151989922,27.076425475158384,9.078524999999999,2.982469671577529,True
UGC02259,8.14,8.14,8.14,5201981518.8953,8036200000.0,0.6473185733176501,4.375451817272426,4.834815,0.9049884674537548,True
NGC6674,72.41,56.858,72.41,480998336756.4385,222910000000.0,2.1578140808238233,39.03917305768589,14.883600000000001,2.622965751410001,True
UGC00128,32.065871957319104,28.256,53.75,106181580857.6505,22889000000.0,4.6389785861178074,42.88479493164388,9.102075000000001,4.7115404928704585,True
UGC05253,14.429593197732578,18.138,53.29,432725663833.8059,112600000000.0,3.8430343146874413,48.39354451483828,17.085525,2.8324294696732046,True
UGC02885,51.11614871623874,13.556,74.07,1005653181577.5337,134520000000.0,7.475863675122909,56.74290763587862,10.995494999999998,5.160559632456622,True
NGC6503,23.5,3.201,23.5,20194494786.513985,4621100000.0,4.370062276625475,12.628126042014005,1.54017,8.199176741537626,True
UGC05716,7.354088029343114,1.008,12.37,10439737114.314604,383920000.0,27.192480501965523,9.875718572857618,0.29673,33.28183389902477,True
UGC06787,37.19,20.224,37.19,269565506220.6906,119990000000.0,2.2465664323751198,20.00036678892964,5.66613,3.529810786009082,True
UGC02953,62.39,18.118,62.39,387573368209.077,114390000000.0,3.3881752619029375,33.59167722574191,7.69614,4.364743524122731,True
UGC06786,17.135028342780927,2.575,34.05,257634070223.45847,11053000000.0,23.30897224495236,28.240746915638542,1.7215049999999998,16.404684805236432,True
UGC09133,97.69698232744248,97.971,108.31,399761477562.63983,289000000000.0,1.3832577078292037,75.1935911970657,18.17589,4.136996383509457,True
UGC08286,8.04,1.347,8.04,3662489660.455563,1300000000.0,2.8172997388119714,4.316038679559853,1.024425,4.213132908275231,True
UGC08699,23.014404801600534,6.378,25.7,105576426250.38306,23594000000.0,4.47471502290341,17.901117039013002,3.2098649999999997,5.576906517567874,True
UGC12506,15.170213404468157,23.243,49.99,389497368898.367,250850000000.0,1.552710260707064,44.84442147382461,21.894435,2.048210948299173,True
UGC11914,9.83,2.712,9.83,75237768018.32826,8680900000.0,8.667046967287753,5.296005335111704,1.75212,3.0226270661322876,True
UGC08490,4.451700566855618,1.095,10.15,8506644370.941994,1120900000.0,7.589119788511012,8.641747249083028,1.03149,8.37792634837277,True
UGC11455,41.93,11.861,41.93,260867003140.83344,94791000000.0,2.752022904503945,22.497059019673223,6.040575,3.7243240949203056,True
UGC01281,3.7265855285095033,2.484,4.99,2549051945.427071,1334800000.0,1.9096883019381714,3.7276492164054686,1.933455,1.9279730929374972,True
UGC03205,39.799979993331114,14.14,40.04,219888334025.98022,72981000000.0,3.0129531525462823,26.548879626542178,7.599584999999999,3.4934643966140495,True
