galaxy,shell_r,cross,a_in,a_out,ratio_cross,near_aout
NGC0247,2.043,8.966654163540886,1.9344381466880267,29.69604182537832,0.22784418387708064,0.931202952500759
NGC0289,32.027,25.96027756939235,2.550715473844844,24.519290513645327,1.2336925101972112,0.30619603296337344
IC2574,2.617,3.248799699924981,2.832109463462889,89.55916487284527,0.8055282694283769,0.9707790933098184
NGC1003,5.88,22.96140285071268,3.64319071682605,41.44766744708295,0.25608191442960965,0.8581343568366757
NGC2841,51.526,62.866429107276815,3.791059419844248,119.88382511744358,0.8196107323365667,0.5702005675117322
NGC2998,25.675,9.066616654163541,0.575571920192567,14.049161004285956,2.8318170911317413,0.827511265061833
NGC2403,5.654,2.2891597899474867,0.491960408727156,5.946767939164708,2.4699018499401926,0.04923143834763979
NGC2403,11.892,2.2891597899474867,0.491960408727156,5.946767939164708,5.194919136803815,0.9997417288945645
NGC3726,8.008,22.82145536384096,6.1138128834020575,193.335738996286,0.3508978666053055,0.958579825739545
NGC4013,23.477,13.964778694673669,1.816447195043163,32.69957394642316,1.6811580414771918,0.28203957524137613
NGC6015,1.0,15.304276069017256,1.46289591019769,18.624376976269534,0.06534121545444742,0.9463069287485879
NGC6015,2.716,15.304276069017256,1.46289591019769,18.624376976269534,0.17746674117427919,0.8541696184811646
NGC6015,14.937,15.304276069017256,1.46289591019769,18.624376976269534,0.976001735243081,0.1979865947176568
NGC5585,2.779,0.6897599399849963,0.153661199351639,4.859193779443679,4.028937952036543,0.42809442756609656
NGC5585,6.561,0.6897599399849963,0.153661199351639,4.859193779443679,9.512005002990918,0.3502239873115655
NGC1090,4.857,53.82981995498874,4.92932106671584,36.941465233754215,0.0902287989085104,0.8685217283811999
NGC5985,6.681,48.45183795948987,3.2865459238852264,103.92970748825556,0.13788950597882213,0.9357161666142958
NGC5985,21.774,48.45183795948987,3.2865459238852264,103.92970748825556,0.4493947168362331,0.7904930118035737
NGC6503,3.342,45.49294823705926,3.356515698828064,24.799750212056363,0.07346193486043526,0.8652405781742394
UGC00128,17.334,32.197936984246056,3.9600615105250982,20.93650292462863,0.5383574732903308,0.1720680353160045
UGC00128,42.079,32.197936984246056,3.9600615105250982,20.93650292462863,1.3068849728039593,1.009838995150447
UGC02953,6.722,68.48432108027006,5.050069805707441,70.18139677406968,0.09815385323191252,0.9042196321392735
UGC02953,18.202,68.48432108027006,5.050069805707441,70.18139677406968,0.26578346273836234,0.7406435204104517
UGC03205,3.484,24.600787696924233,1.7784875503168285,29.003125860123777,0.14162148151197593,0.8798750170308323
UGC03205,14.131,24.600787696924233,1.7784875503168285,29.003125860123777,0.5744125015056636,0.5127766548974424
UGC05253,14.734,1.5694298574643661,0.3021877382790294,9.556015339365832,9.388122654812266,0.5418560432090931
UGC04278,4.53,1.1695798949737435,0.4838812207070825,10.30818192715489,3.873185593791091,0.5605432624285955
UGC05716,6.045,1.9292948237059264,0.3011565666311545,4.191857311536291,3.1332691746864976,0.44208152872086753
UGC07399,1.428,7.847074268567142,1.1751631857876252,37.16192289468509,0.18197865231378133,0.9615735707743952
UGC09133,8.844,,8.54898446011213,66.21667456784793,,0.8664384755392974
UGC09133,51.335,,8.54898446011213,66.21667456784793,,0.22474210106397965
UGC09133,97.949,,8.54898446011213,66.21667456784793,,0.47921955669395644
UGC06787,4.03,33.01762940735183,4.585999208771368,145.0220284744556,0.12205600681624541,0.9722111182529084
UGC06787,8.222,33.01762940735183,4.585999208771368,145.0220284744556,0.2490184833854019,0.9433051648326085
UGC06787,20.037,33.01762940735183,4.585999208771368,145.0220284744556,0.6068576199943199,0.8618347832341253
UGC11455,10.454,47.93203300825206,9.413641711351362,297.68548883969055,0.21810049238262483,0.9648823997409236
UGC08286,1.487,12.865191297824456,1.4239198440126175,45.02829908178324,0.11558320164671446,0.9669763231051829
