galaxy,Nsphere,shell_before,nshell_before,shell_after,nshell_after,dBIC_after,r_x,shell_center,near_crossover_kpc
DDO170,1,0,0,0,0,0.0,,,
ESO563-G021,1,1,1,1,1,18.2,,5.72,
KK98-251,1,0,0,0,0,0.0,,,
D631-7,1,0,0,0,0,0.0,,,
IC2574,1,0,0,0,0,0.0,,,
IC4202,1,0,0,0,0,0.0,,,
F583-1,1,0,0,0,0,0.0,,,
F574-1,1,0,0,0,0,0.0,,,
F568-V1,1,0,0,0,0,0.0,,,
NGC0024,2,0,0,0,0,0.0,,,
NGC0247,2,1,1,0,0,0.0,7.41,,
DDO154,1,0,0,0,0,0.0,,,
DDO168,1,1,1,1,1,0.5,,2.11,
NGC0289,2,0,0,0,0,0.0,25.97,,
DDO064,1,0,0,0,0,0.0,,,
ESO116-G012,1,0,0,0,0,0.0,,,
NGC2683,1,0,0,0,0,0.0,,,
NGC2403,2,1,2,1,1,3.8,2.28,3.67,1.39
F571-8,1,0,0,0,0,0.0,,,
NGC2976,1,0,0,0,0,0.0,,,
NGC1003,2,1,1,0,0,0.0,19.06,,
NGC0055,1,0,0,0,0,0.0,,,
NGC0300,1,0,0,0,0,0.0,,,
ESO079-G014,1,0,0,0,0,0.0,,,
NGC2903,1,0,0,0,0,0.0,,,
NGC0100,1,0,0,0,0,0.0,,,
NGC2915,1,0,0,0,0,0.0,,,
NGC3877,1,0,0,0,0,0.0,,,
NGC1090,2,0,0,0,0,0.0,,,
NGC2841,2,1,1,0,0,0.0,60.14,,
NGC0801,2,1,1,0,0,0.0,32.01,,
NGC3953,1,0,0,0,0,0.0,,,
NGC3726,2,0,0,0,0,0.0,15.03,,
NGC3769,1,0,0,0,0,0.0,,,
NGC3992,1,0,0,0,0,0.0,,,
NGC3893,1,0,0,0,0,0.0,,,
NGC0891,1,0,0,0,0,0.0,,,
NGC2998,2,1,1,0,0,0.0,9.45,,
NGC4088,1,0,0,0,0,0.0,,,
NGC3917,1,0,0,0,0,0.0,,,
NGC3521,2,1,1,0,0,0.0,4.14,,
NGC3198,2,1,1,0,0,0.0,,,
NGC3972,1,0,0,0,0,0.0,,,
NGC4100,1,0,0,0,0,0.0,,,
NGC4013,2,1,1,0,0,0.0,21.38,,
NGC5005,1,0,0,0,0,0.0,,,
NGC5033,1,0,0,0,0,0.0,,,
NGC3741,2,0,0,0,0,0.0,1.31,,
NGC5055,1,1,1,1,1,32.4,,11.41,
NGC4157,1,0,0,0,0,0.0,,,
NGC5371,2,1,2,1,1,2.6,28.08,44.1,16.02
DDO161,1,0,0,0,0,0.0,,,
NGC6015,2,1,2,0,0,0.0,15.36,,
NGC6195,2,1,1,0,0,0.0,9.93,,
NGC5585,2,1,1,0,0,0.0,0.66,,
NGC5985,2,1,1,0,0,0.0,,,
NGC4183,1,0,0,0,0,0.0,,,
NGC5907,2,1,1,1,1,1.4,,40.16,
NGC4559,1,0,0,0,0,0.0,,,
NGC3109,1,0,0,0,0,0.0,,,
NGC4010,1,0,0,0,0,0.0,,,
UGC02259,2,1,1,0,0,0.0,,,
NGC4217,1,0,0,0,0,0.0,,,
UGC02487,1,1,1,0,0,0.0,,,
UGC04325,1,0,0,0,0,0.0,,,
NGC7814,1,0,0,0,0,0.0,,,
NGC6674,2,1,1,1,1,0.9,58.98,57.58,1.4
UGC02916,1,1,1,1,1,9.6,,7.8,
UGC00731,2,0,0,0,0,0.0,2.88,,
NGC6946,1,0,0,0,0,0.0,,,
UGC04278,1,0,0,0,0,0.0,,,
UGC03580,1,0,0,0,0,0.0,,,
UGC03546,1,0,0,0,0,0.0,,,
UGC00128,2,1,1,0,0,0.0,32.55,,
UGC05253,2,1,1,0,0,0.0,1.59,,
UGC02885,2,1,1,0,0,0.0,19.16,,
UGC05721,1,0,0,0,0,0.0,,,
NGC6503,2,1,1,0,0,0.0,,,
UGC06818,1,0,0,0,0,0.0,,,
UGC05986,1,0,0,0,0,0.0,,,
UGC05716,2,0,0,0,0,0.0,3.04,,
NGC7331,1,0,0,0,0,0.0,,,
UGC04499,1,0,0,0,0,0.0,,,
UGC06787,2,1,2,1,2,122.3,29.57,22.21,7.36
UGC06446,1,0,0,0,0,0.0,,,
UGC05005,1,0,0,0,0,0.0,,,
UGC07151,1,0,0,0,0,0.0,,,
UGC06930,1,0,0,0,0,0.0,,,
UGC06399,1,0,0,0,0,0.0,,,
UGC06917,1,0,0,0,0,0.0,,,
UGC02953,2,1,2,0,0,0.0,,,
UGC07125,1,0,0,0,0,0.0,,,
UGC06786,2,1,1,0,0,0.0,9.05,,
UGC06614,1,0,0,0,0,0.0,,,
UGC07603,1,0,0,0,0,0.0,,,
UGC07399,2,0,0,0,0,0.0,,,
UGC06667,1,0,0,0,0,0.0,,,
UGC06983,1,0,0,0,0,0.0,,,
UGC09133,2,1,2,1,1,27.4,,51.34,
UGC08286,2,0,0,0,0,0.0,,,
UGC08699,2,1,2,0,0,0.0,13.61,,
UGC08550,2,0,0,0,0,0.0,,,
UGC12506,2,0,0,0,0,0.0,8.67,,
UGC11914,2,1,1,1,1,30.6,5.1,8.63,3.53
UGC08490,2,0,0,0,0,0.0,3.51,,
UGC11455,2,0,0,0,0,0.0,33.42,,
UGC07524,1,0,0,0,0,0.0,,,
UGCA442,1,0,0,0,0,0.0,,,
UGCA444,1,0,0,0,0,0.0,,,
UGC12632,1,0,0,0,0,0.0,,,
UGC01281,4,0,0,0,0,0.0,,,
UGC03205,2,1,1,0,0,0.0,23.62,,
UGC09037,1,0,0,0,0,0.0,,,
