galaxy,T,n_pts,rmax,chi2red_best
D631-7,10,15,7.19,0.621
DDO064,10,14,2.98,0.344
DDO154,10,12,5.92,0.747
DDO161,10,31,13.37,0.26
ESO116-G012,7,15,9.86,0.78
F568-V1,7,15,17.63,0.055
F571-8,5,9,15.55,1.36
F571-V1,7,7,13.59,0.032
F574-1,7,14,12.6,0.094
F583-1,9,25,16.26,0.196
KK98-251,10,15,3.13,0.312
NGC0055,9,21,13.5,0.485
NGC0100,6,21,9.62,0.086
NGC0300,7,25,11.8,0.583
NGC2683,3,11,34.62,0.692
NGC2915,11,28,10.04,0.377
NGC2976,5,24,2.27,0.261
NGC3109,9,25,6.45,0.149
NGC3769,3,11,37.16,0.627
NGC3877,5,11,11.35,0.792
NGC3893,5,10,19.05,0.358
NGC3917,6,16,14.86,0.638
NGC3949,4,7,7.07,0.419
NGC3953,4,8,15.68,0.185
NGC3972,4,10,8.72,0.805
NGC3992,4,9,46.02,0.719
NGC4051,4,7,12.19,0.62
NGC4088,4,9,21.48,0.597
NGC4100,4,24,22.76,0.614
NGC4138,0,7,18.58,0.69
NGC4157,3,15,29.61,0.274
NGC4183,6,23,21.02,0.385
NGC4217,3,11,16.72,0.608
NGC4559,6,32,20.97,0.247
NGC5005,4,13,11.47,0.031
NGC7331,3,28,36.31,0.47
UGC03546,1,15,29.23,1.203
UGC04325,9,8,5.59,0.412
UGC04499,8,9,8.18,0.243
UGC05005,10,11,28.61,0.014
UGC05721,7,23,6.74,0.394
UGC06399,9,9,7.85,0.047
UGC06446,7,17,10.22,0.45
UGC06614,1,12,64.59,0.132
UGC06667,6,9,7.85,0.095
UGC06917,9,11,10.47,0.197
UGC06923,10,6,5.16,0.492
UGC06930,7,10,16.61,0.179
UGC06983,6,17,15.68,0.424
UGC07125,9,13,18.68,0.248
UGC07261,8,7,6.67,0.381
UGC07524,9,31,10.69,0.237
UGC07603,7,12,4.11,0.204
UGC07690,10,7,4.13,0.111
UGC09037,6,19,27.96,0.503
UGC10310,9,7,7.74,0.094
UGC12632,9,15,10.66,0.066
UGCA442,9,8,6.33,0.615
UGCA444,10,36,2.62,0.218
