galaxy,s_logp0,s_a,p0_in,a_in,p0_out,a_out,a_single,between
IC2574,6.666055792308252,10.23,6.759034457512859,2.832109463462889,6.284559658211187,89.55916487284527,10.23,True
NGC0024,8.585528982554687,1.5471089350234146,8.749821655992475,1.09660832364941,6.456405802493375,34.67780002728224,1.5471089350234146,True
NGC0247,7.707080976856367,3.1561129355092175,7.885172203476495,1.9344381466880267,6.456918416578789,29.69604182537832,3.1561129355092175,True
NGC0289,7.304071560776103,9.854189897018792,8.259312574811098,2.550715473844844,6.371230990896883,24.519290513645327,9.854189897018792,True
NGC0801,7.137640824608814,12.669228586966822,8.992816138901729,1.2273204422170534,6.231332073000151,38.811280162909625,12.669228586966822,True
NGC1003,7.0159771189763624,9.336404597058502,7.55345381332803,3.64319071682605,5.932734497478455,41.44766744708295,9.336404597058502,True
NGC1090,7.459023246739583,7.163792165410694,7.670697084994121,4.92932106671584,5.878827742074767,36.941465233754215,7.163792165410694,True
NGC2403,7.913723311921659,3.7057815948824433,8.914500464733077,0.491960408727156,7.515674228432809,5.946767939164708,3.7057815948824433,True
NGC2841,8.228212428021672,6.0484792975885275,8.56129889654183,3.791059419844248,5.902171901556309,119.88382511744358,6.0484792975885275,True
NGC2998,7.4181196406110335,9.835346595143939,9.607717357494336,0.575571920192567,7.058600248630271,14.049161004285956,9.835346595143939,True
NGC3198,7.53598065026333,6.69626900618004,7.60861114028003,5.781630038306402,5.218188717029619,182.8311950949462,6.69626900618004,True
NGC3521,7.856454344695146,5.665723646252369,9.450256087832477,0.4226694261559408,7.36236398393825,11.230605750028111,5.665723646252369,True
NGC3726,6.9634830922084445,12.759525081093827,7.242402584085307,6.1138128834020575,5.945421878328114,193.335738996286,12.759525081093827,True
NGC3741,7.432383973873876,2.7034967557504643,8.180246417094429,0.4181910765514713,7.113388662992055,4.244815766149795,2.7034967557504643,True
NGC4013,7.201487291550792,11.009735709205486,8.348017239334279,1.816447195043163,6.469715609874077,32.69957394642316,11.009735709205486,True
NGC5585,7.4781440999144815,4.483989836066226,8.87872198161692,0.153661199351639,7.4149884709970255,4.859193779443679,4.483989836066226,True
NGC5985,8.491999934561765,4.242461148553294,8.664261992914513,3.2865459238852264,6.1092181459765085,103.92970748825556,4.242461148553294,True
NGC6015,8.220723570322688,3.0003722162946826,8.654714184690171,1.46289591019769,6.630122906734566,18.624376976269534,3.0003722162946826,True
NGC6195,6.7549143055983105,23.091974194276926,8.463179473645269,1.1603365934247831,6.490625713930596,36.6930648766307,23.091974194276926,True
NGC6503,7.659741106157734,4.502265737001293,7.831883279663163,3.356515698828064,5.955458459111503,24.799750212056363,4.502265737001293,True
UGC00128,7.25392946231682,8.257132262535643,7.678435556242276,3.9600615105250982,6.230467397857975,20.93650292462863,8.257132262535643,True
UGC00731,7.79261126756853,2.3568267577076334,7.990962843228868,1.0574386830239246,7.246752424267193,3.9847696471355865,2.3568267577076334,True
UGC02259,8.308644864255962,1.5996581718279765,8.56195169885984,1.0768134891927168,6.430943073315767,34.051832410420914,1.5996581718279765,True
UGC02953,8.034756776962293,6.560201500963614,8.193523591357073,5.050069805707441,5.959129283822151,70.18139677406968,6.560201500963614,True
UGC03205,8.120583500705743,4.583012000485547,8.817661434643904,1.7784875503168285,6.503555860884646,29.003125860123777,4.583012000485547,True
UGC04278,7.362249543888715,6.380818503961055,8.135743837666661,0.4838812207070825,7.194948542779763,10.30818192715489,6.380818503961055,True
UGC05253,7.591316775313182,9.09550677438706,9.151078981854342,0.3021877382790294,7.550897537502758,9.556015339365832,9.09550677438706,True
UGC05716,7.569186247983947,3.176756811784959,8.989914035274,0.3011565666311545,7.30931619271192,4.191857311536291,3.176756811784959,True
UGC06786,8.01547689543037,5.79412710438178,8.487596339022112,2.0716658181777357,7.360555388158952,11.056866650838275,5.79412710438178,True
UGC06787,7.879614506791686,7.041688428731903,8.110043804284425,4.585999208771368,6.2188734938789345,145.0220284744556,7.041688428731903,True
UGC07399,8.498521158129417,1.5284799827841244,8.616006049190055,1.1751631857876252,6.794940880469566,37.16192289468509,1.5284799827841244,True
UGC08286,8.18967447850891,1.7864699853626704,8.31029174901584,1.4239198440126175,6.2067662046823315,45.02829908178324,1.7864699853626704,True
UGC08490,8.389688979681335,1.4014736767631406,8.782677024864723,0.631571148269885,7.52319584591118,3.0241004461815035,1.4014736767631406,True
UGC08550,8.115996589173713,1.3060827182518684,8.289114239975623,0.8633074670742185,6.876818474541583,4.562717837294119,1.3060827182518684,True
UGC08699,8.095630535330548,3.818615320830462,8.474602628909887,1.951199859321748,6.810299016080112,17.004383171392146,3.818615320830462,True
UGC09133,7.332292474835244,13.141324806756128,7.618737068630987,8.54898446011213,5.565294104686885,66.21667456784793,13.141324806756128,True
UGC11455,7.318029796821891,13.367139700758026,7.439042976706335,9.413641711351362,5.867599442910632,297.68548883969055,13.367139700758026,True
UGC12506,8.130928193172775,5.468178728131368,9.26848158147775,1.0087876457568044,7.508296624571976,9.699311274388402,5.468178728131368,True
