galaxy,r_cross,r_shell,rmax,reff
IC2574,3.2633966983491742,2.447,10.23,3.18
NGC0247,8.973056528264133,2.043,14.54,5.87
NGC0289,25.93242121060531,31.808,71.12,2.69
NGC0801,22.893561780890447,39.926,59.82,7.76
NGC1003,22.975672836418205,16.345,30.24,2.76
NGC2403,2.289269634817409,1.003,20.87,2.16
NGC2841,62.84472736368184,49.929,63.64,5.51
NGC2998,9.070615307653828,25.886,42.28,7.06
NGC3521,3.8375537768884436,1.078,17.74,2.45
NGC3726,22.822856428214113,7.276,32.52,7.52
NGC3741,1.3051025512756378,1.0,7.0,0.32
NGC4013,13.973481740870437,23.567,31.01,4.11
NGC5585,0.6940120060030015,2.688,10.96,2.27
NGC6015,15.304177088544272,15.342,29.23,3.92
NGC6195,9.113151575787896,2.242,36.43,9.52
UGC00128,32.20552776388194,28.256,53.75,9.63
UGC03205,24.596138069034517,14.14,40.04,5.35
UGC04278,1.1860080040020011,4.724,6.69,2.46
UGC05253,1.5680990495247624,18.138,53.29,4.28
UGC05716,1.9359029514757375,1.008,12.37,1.84
UGC06786,8.758354177088545,2.575,34.05,3.42
UGC06787,33.00965982991496,20.224,37.19,2.88
UGC08490,3.7989744872436217,1.095,10.15,1.14
UGC08699,14.767633816908456,6.378,25.7,1.91
UGC12506,8.344187093546774,23.243,49.99,12.36
