galaxy,r_cross,r_shell,rmax,reff,a_in,a_out
NGC0247,7.415,2.043,14.54,5.87,1.79,13.902
NGC0289,25.968,31.808,71.12,2.69,2.552,24.554
NGC2403,2.279,1.003,20.87,2.16,0.49,5.92
NGC1003,19.064,16.345,30.24,2.76,3.279,28.892
NGC2841,60.141,49.929,63.64,5.51,3.515,60.634
NGC0801,32.013,39.926,59.82,7.76,1.96,56.927
NGC3726,15.026,7.276,32.52,7.52,5.445,31.166
NGC2998,9.451,25.886,42.28,7.06,0.597,14.627
NGC3521,4.138,1.078,17.74,2.45,0.51,11.946
NGC4013,21.377,23.567,31.01,4.11,5.49,29.734
NGC3741,1.309,1.0,7.0,0.32,0.42,4.264
NGC5371,28.078,6.004,46.24,9.8,1.45,44.0
NGC6015,15.363,15.342,29.23,3.92,1.466,19.258
NGC6195,9.932,2.242,36.43,9.52,2.34,34.726
NGC5585,0.661,2.688,10.96,2.27,0.09,4.907
NGC6674,58.981,56.858,72.41,7.75,2.5,68.914
UGC00128,32.555,28.256,53.75,9.63,3.978,21.076
UGC05253,1.595,18.138,53.29,4.28,0.134,9.489
UGC02885,19.157,13.556,74.07,12.2,1.7,33.593
UGC05716,3.039,1.008,12.37,1.84,1.03,4.834
UGC06787,29.572,20.224,37.19,2.88,4.223,35.542
UGC06786,9.047,2.575,34.05,3.42,2.102,11.265
UGC08699,13.613,6.378,25.7,1.91,1.877,15.13
UGC12506,8.669,23.243,49.99,12.36,1.028,9.969
UGC11914,5.104,2.712,9.83,3.12,0.47,9.362
UGC08490,3.511,1.095,10.15,1.14,0.615,2.925
UGC11455,33.424,11.861,41.93,10.06,8.038,40.235
UGC03205,23.616,14.14,40.04,5.35,1.715,26.164
