galaxy,rmax,r1,r2,M1,M2,sig1,sig2,ratio_r,sor1,sor2,ratio_M,r1_norm,r2_norm,spacing
ESO563-G021,42.41,4.689,7.724,18129000000.0,98730000000.0,0.394,2.113,1.6472595436127107,0.08402644487097462,0.27356292076644223,5.445970544431574,0.11056354633341194,0.18212685687337893,3.035
IC4202,25.9,3.884,6.295,11878000000.0,26118000000.0,0.111,0.873,1.6207518022657055,0.028578784757981465,0.13868149324861,2.19885502609867,0.14996138996138997,0.24305019305019307,2.411
NGC0289,71.12,9.143,31.808,69486000000.0,157190000000.0,3.271,6.133,3.478945641474352,0.3577600349994531,0.19281312877263582,2.262182310105633,0.12855736782902139,0.44724409448818897,22.665
NGC1003,30.24,5.88,16.345,14015000000.0,15148000000.0,2.197,2.058,2.7797619047619047,0.37363945578231295,0.1259100642398287,1.0808419550481627,0.19444444444444445,0.5405092592592593,10.465
NGC2403,20.87,1.003,4.457,1318200000.0,9231500000.0,0.401,1.248,4.443668993020937,0.39980059820538394,0.2800089746466233,7.00311030192687,0.048059415428845224,0.21356013416387157,3.4539999999999997
NGC2841,63.64,26.609,49.929,128400000000.0,316230000000.0,5.517,4.606,1.8763952046300123,0.20733586380547936,0.09225099641490916,2.46285046728972,0.418117536140792,0.7845537397862979,23.32
NGC3198,44.08,2.409,36.92,1503500000.0,28488000000.0,0.309,3.651,15.325861353258615,0.12826899128268993,0.09888949079089923,18.94778849351513,0.05465063520871143,0.8375680580762251,34.511
NGC5055,54.59,8.787,14.867,15331000000.0,42825000000.0,1.691,3.232,1.6919312620917264,0.1924433822692614,0.21739422882895001,2.7933598591089948,0.1609635464370764,0.2723392562740429,6.08
NGC5371,46.24,1.501,6.004,11693000000.0,22162000000.0,0.6,2.402,4.0,0.39973351099267157,0.40006662225183215,1.8953219875138971,0.03246107266435986,0.12984429065743944,4.503
NGC5585,10.96,2.688,6.41,1580700000.0,13939000000.0,0.572,2.293,2.384672619047619,0.212797619047619,0.35772230889235573,8.818245081293098,0.24525547445255474,0.5848540145985401,3.722
NGC5907,50.33,20.804,40.281,77430000000.0,136620000000.0,3.768,3.855,1.936214189578927,0.1811190155739281,0.09570268861249721,1.7644323905463,0.4133518776077886,0.8003377707132923,19.477
NGC5985,34.72,7.355,23.628,121410000000.0,253410000000.0,2.942,5.383,3.212508497620666,0.4,0.22782292195700016,2.0872251050160613,0.21183755760368667,0.6805299539170507,16.273
NGC6674,72.41,6.39,56.858,114080000000.0,222910000000.0,2.556,6.32,8.897965571205008,0.4,0.11115410320447432,1.9539796633941093,0.08824747962988537,0.7852230354923353,50.467999999999996
NGC6946,20.4,4.249,11.07,5381800000.0,5732100000.0,0.426,0.163,2.6053188985643683,0.10025888444339845,0.014724480578139115,1.0650897469248206,0.2082843137254902,0.5426470588235295,6.821000000000001
UGC02487,80.38,28.123,62.69,279210000000.0,316230000000.0,4.311,6.611,2.2291362941364716,0.15329090068627102,0.10545541553676822,1.1325883743418932,0.3498755909430207,0.7799203782035332,34.56699999999999
UGC02885,74.07,1.433,13.556,13972000000.0,134520000000.0,0.029,4.669,9.459874389392882,0.020237264480111653,0.34442313366774857,9.627827082736902,0.01934656406102336,0.1830160658836236,12.123
UGC02953,62.39,6.796,18.118,112640000000.0,114390000000.0,2.643,3.268,2.6659799882283695,0.38890523837551494,0.18037310961474776,1.0155362215909092,0.1089277127744831,0.2903991024202596,11.322
UGC03205,40.04,3.566,14.14,37959000000.0,72981000000.0,1.287,3.227,3.965227145260797,0.36090858104318563,0.2282178217821782,1.9226270449695724,0.08906093906093906,0.3531468531468532,10.574000000000002
UGC03580,27.06,7.364,17.196,19728000000.0,45819000000.0,2.397,3.506,2.335143943508963,0.3255024443237371,0.2038846243312398,2.3225364963503647,0.2721359940872136,0.6354767184035478,9.832
UGC08699,25.7,1.727,6.378,5901900000.0,23594000000.0,0.386,1.363,3.693109438332368,0.22350897510133177,0.213703355283788,3.99769565733069,0.06719844357976654,0.24817120622568095,4.651
UGC11455,41.93,3.782,11.861,13473000000.0,94791000000.0,0.631,2.565,3.1361713379164464,0.16684294024325755,0.21625495320799257,7.035626809173904,0.09019794896255665,0.28287622227522063,8.079
UGC11914,9.83,1.0,2.712,9571100000.0,8680900000.0,0.4,0.744,2.712,0.4,0.2743362831858407,0.906990836998882,0.1017293997965412,0.27589013224821973,1.7120000000000002
