galaxy,cls,logMBH,dMBH,ul,logMdm,Vflat
NGC0289,winner,7.3756,0.2965,True,11.566565130499505,163.0
NGC0300,borderline,2.0,3.0,True,10.32202217647445,93.3
NGC2903,clean_single,7.0603,0.2821,True,11.144309580092292,184.6
NGC3953,clean_single,7.3323,0.2909,False,10.865182550382906,220.8
NGC3992,clean_single,7.5149,0.2844,False,11.664451854423673,241.0
NGC4051,clean_single,6.0977,0.2514,False,10.30047018174422,157.0
NGC4088,clean_single,6.7922,0.287,True,10.791674795865127,171.7
NGC5005,clean_single,8.2733,0.2319,False,10.884350008902,262.2
NGC5055,clean_single,8.9183,0.0987,False,11.469997457285663,179.0
NGC6503,winner,6.301,0.1139,True,10.789577780435033,116.3
NGC7331,clean_single,8.0215,0.1826,False,11.505275802475934,239.0
